"","chrom","window_start","window_end","sites_total","calls","hets","hetpkb","winlen","merge_start","sample","subpop"
"32","NW_006724458.1",31000001,32000000,331733,310352,855,2.75493633036037,1e+06,31000001,"ENPAK19","AK"
"33","NW_006724458.1",32000001,33000000,375275,352697,688,1.95068288077301,1e+06,32000001,"ENPAK19","AK"
"34","NW_006724458.1",33000001,34000000,342393,320182,648,2.0238489359177,1e+06,33000001,"ENPAK19","AK"
"35","NW_006724458.1",34000001,35000000,315896,297222,891,2.99775925066112,1e+06,34000001,"ENPAK19","AK"
"36","NW_006724458.1",35000001,36000000,309939,291426,398,1.36569832478914,1e+06,35000001,"ENPAK19","AK"
"37","NW_006724458.1",36000001,37000000,362233,339638,786,2.31422867876975,1e+06,36000001,"ENPAK19","AK"
"38","NW_006724458.1",37000001,38000000,389938,373328,504,1.3500192859898,1e+06,37000001,"ENPAK19","AK"
"39","NW_006724458.1",38000001,39000000,309553,289639,262,0.904574314923059,1e+06,38000001,"ENPAK19","AK"
"40","NW_006724458.1",39000001,40000000,290628,271120,332,1.22455001475361,1e+06,39000001,"ENPAK19","AK"
"41","NW_006724458.1",40000001,41000000,333835,311703,314,1.00736919439338,1e+06,40000001,"ENPAK19","AK"
"42","NW_006724458.1",41000001,42000000,306368,288132,215,0.746185775963794,1e+06,41000001,"ENPAK19","AK"
"43","NW_006724458.1",42000001,43000000,408636,392288,763,1.94499959213639,1e+06,42000001,"ENPAK19","AK"
"44","NW_006724458.1",43000001,44000000,411658,395577,902,2.28021346033768,1e+06,43000001,"ENPAK19","AK"
"45","NW_006724458.1",44000001,45000000,429937,414735,971,2.34125405379339,1e+06,44000001,"ENPAK19","AK"
"46","NW_006724458.1",45000001,46000000,391407,375584,558,1.48568629121581,1e+06,45000001,"ENPAK19","AK"
"47","NW_006724458.1",46000001,47000000,445602,429290,1287,2.99797339793613,1e+06,46000001,"ENPAK19","AK"
"48","NW_006724458.1",47000001,48000000,433468,414652,1287,3.10380753016988,1e+06,47000001,"ENPAK19","AK"
"49","NW_006724458.1",48000001,49000000,448256,430958,1136,2.63598772966275,1e+06,48000001,"ENPAK19","AK"
"50","NW_006724458.1",49000001,50000000,459879,442146,704,1.5922342393689,1e+06,49000001,"ENPAK19","AK"
"51","NW_006724458.1",50000001,51000000,374167,361259,464,1.28439706692428,1e+06,50000001,"ENPAK19","AK"
"52","NW_006724459.1",1,1000000,372779,356932,531,1.48767832528325,1e+06,51000001,"ENPAK19","AK"
"53","NW_006724459.1",1000001,2000000,358499,341209,421,1.23384787622835,1e+06,52000001,"ENPAK19","AK"
"54","NW_006724459.1",2000001,3000000,362670,350904,733,2.08889040877277,1e+06,53000001,"ENPAK19","AK"
"55","NW_006724459.1",3000001,4000000,395407,379343,826,2.17744890508063,1e+06,54000001,"ENPAK19","AK"
"56","NW_006724459.1",4000001,5000000,349911,334176,451,1.34958824092694,1e+06,55000001,"ENPAK19","AK"
"57","NW_006724459.1",5000001,6000000,375926,360427,514,1.42608628099449,1e+06,56000001,"ENPAK19","AK"
"58","NW_006724459.1",6000001,7000000,415466,400364,625,1.56107941772987,1e+06,57000001,"ENPAK19","AK"
"59","NW_006724459.1",7000001,8000000,335491,320398,498,1.55431681845704,1e+06,58000001,"ENPAK19","AK"
"60","NW_006724459.1",8000001,9000000,348411,335973,661,1.96742000101199,1e+06,59000001,"ENPAK19","AK"
"61","NW_006724459.1",9000001,10000000,364381,347493,982,2.82595620631207,1e+06,60000001,"ENPAK19","AK"
"62","NW_006724459.1",10000001,11000000,410788,394432,1340,3.39729028070745,1e+06,61000001,"ENPAK19","AK"
"63","NW_006724459.1",11000001,12000000,328793,316882,302,0.953036145947072,1e+06,62000001,"ENPAK19","AK"
"64","NW_006724459.1",12000001,13000000,385528,375159,805,2.14575686575559,1e+06,63000001,"ENPAK19","AK"
"65","NW_006724459.1",13000001,14000000,412882,401359,613,1.52731096100997,1e+06,64000001,"ENPAK19","AK"
"66","NW_006724459.1",14000001,15000000,281807,273033,201,0.736174748107372,1e+06,65000001,"ENPAK19","AK"
"67","NW_006724459.1",15000001,16000000,308849,298742,221,0.739768763682375,1e+06,66000001,"ENPAK19","AK"
"68","NW_006724459.1",16000001,17000000,280623,268929,390,1.45019689211651,1e+06,67000001,"ENPAK19","AK"
"69","NW_006724459.1",17000001,18000000,279891,264474,326,1.232635344117,1e+06,68000001,"ENPAK19","AK"
"70","NW_006724459.1",18000001,19000000,336728,322590,649,2.01184165659196,1e+06,69000001,"ENPAK19","AK"
"71","NW_006724459.1",19000001,20000000,419921,407047,1029,2.52796360125489,1e+06,70000001,"ENPAK19","AK"
"72","NW_006724459.1",20000001,21000000,385827,374657,354,0.944864235821031,1e+06,71000001,"ENPAK19","AK"
"73","NW_006724459.1",21000001,22000000,295488,284735,286,1.00444272744833,1e+06,72000001,"ENPAK19","AK"
"74","NW_006724459.1",22000001,23000000,401987,392458,401,1.02176538635981,1e+06,73000001,"ENPAK19","AK"
"75","NW_006724459.1",23000001,24000000,369316,360466,773,2.14444635555087,1e+06,74000001,"ENPAK19","AK"
"76","NW_006724459.1",24000001,25000000,339517,328457,576,1.75365420740006,1e+06,75000001,"ENPAK19","AK"
"77","NW_006724459.1",25000001,26000000,390592,380025,545,1.43411617656733,1e+06,76000001,"ENPAK19","AK"
"78","NW_006724459.1",26000001,27000000,363932,351183,533,1.51772722483719,1e+06,77000001,"ENPAK19","AK"
"79","NW_006724460.1",1,1000000,373091,356232,600,1.68429562756855,1e+06,78000001,"ENPAK19","AK"
"80","NW_006724460.1",1000001,2000000,367254,350249,553,1.57887674197499,1e+06,79000001,"ENPAK19","AK"
"81","NW_006724460.1",2000001,3000000,333497,316809,505,1.594020371896,1e+06,80000001,"ENPAK19","AK"
"82","NW_006724460.1",3000001,4000000,348885,331760,523,1.57644080057873,1e+06,81000001,"ENPAK19","AK"
"83","NW_006724460.1",4000001,5000000,376836,360347,528,1.46525432430407,1e+06,82000001,"ENPAK19","AK"
"84","NW_006724460.1",5000001,6000000,369163,356849,376,1.05366695717236,1e+06,83000001,"ENPAK19","AK"
"85","NW_006724460.1",6000001,7000000,383930,366320,409,1.11651015505569,1e+06,84000001,"ENPAK19","AK"
"86","NW_006724571.1",1,1000000,339199,323139,290,0.897446609663334,1e+06,85000001,"ENPAK19","AK"
"87","NW_006724571.1",1000001,2000000,412513,391111,430,1.09943213052049,1e+06,86000001,"ENPAK19","AK"
"88","NW_006724571.1",2000001,3000000,361093,344172,411,1.19417035668212,1e+06,87000001,"ENPAK19","AK"
"89","NW_006724571.1",3000001,4000000,380096,362705,416,1.14693759391241,1e+06,88000001,"ENPAK19","AK"
"90","NW_006724571.1",4000001,5000000,384990,362778,422,1.16324584180959,1e+06,89000001,"ENPAK19","AK"
"91","NW_006724571.1",5000001,6000000,414825,391105,432,1.10456271333785,1e+06,90000001,"ENPAK19","AK"
"92","NW_006724571.1",6000001,7000000,386283,364743,603,1.65321884175981,1e+06,91000001,"ENPAK19","AK"
"93","NW_006724682.1",1,1000000,329894,312604,372,1.19000396667989,1e+06,92000001,"ENPAK19","AK"
"94","NW_006724682.1",1000001,2000000,368100,352511,552,1.56590858157618,1e+06,93000001,"ENPAK19","AK"
"95","NW_006724682.1",2000001,3000000,345318,332384,440,1.32377009723693,1e+06,94000001,"ENPAK19","AK"
"96","NW_006724682.1",3000001,4000000,359129,344146,562,1.63302784283415,1e+06,95000001,"ENPAK19","AK"
"97","NW_006724682.1",4000001,5000000,378793,363262,859,2.36468444263369,1e+06,96000001,"ENPAK19","AK"
"98","NW_006724682.1",5000001,6000000,355102,339902,585,1.72108431253714,1e+06,97000001,"ENPAK19","AK"
"99","NW_006724682.1",6000001,7000000,358947,343668,387,1.12608680470687,1e+06,98000001,"ENPAK19","AK"
"100","NW_006724682.1",7000001,8000000,386180,366609,507,1.38294477222327,1e+06,99000001,"ENPAK19","AK"
"101","NW_006724682.1",8000001,8803752,200753,188951,340,1.79940831220793,803752,100000001,"ENPAK19","AK"
"102","NW_006724793.1",1,1000000,364670,349754,818,2.33878669007359,1e+06,100803753,"ENPAK19","AK"
"103","NW_006724793.1",1000001,2000000,400351,386936,1153,2.97982095230219,1e+06,101803753,"ENPAK19","AK"
"104","NW_006724793.1",2000001,3000000,390105,375692,642,1.70884660839198,1e+06,102803753,"ENPAK19","AK"
"105","NW_006724793.1",3000001,4000000,404612,387211,204,0.526844536957886,1e+06,103803753,"ENPAK19","AK"
"106","NW_006724793.1",4000001,5000000,463831,434618,457,1.05149809717959,1e+06,104803753,"ENPAK19","AK"
"107","NW_006724793.1",5000001,6000000,406120,387627,603,1.55561919061366,1e+06,105803753,"ENPAK19","AK"
"108","NW_006724793.1",6000001,7000000,366534,349354,620,1.77470416826485,1e+06,106803753,"ENPAK19","AK"
"109","NW_006724904.1",1,1000000,388541,375310,893,2.37936639045056,1e+06,107803753,"ENPAK19","AK"
"110","NW_006724904.1",1000001,2000000,532686,512992,992,1.9337533528788,1e+06,108803753,"ENPAK19","AK"
"111","NW_006724904.1",2000001,3000000,488777,471228,980,2.07967268498476,1e+06,109803753,"ENPAK19","AK"
"112","NW_006724904.1",3000001,4000000,387197,373911,809,2.16361647557841,1e+06,110803753,"ENPAK19","AK"
"113","NW_006724904.1",4000001,5000000,399346,386801,894,2.31126599982937,1e+06,111803753,"ENPAK19","AK"
"114","NW_006724904.1",5000001,6000000,389448,379746,633,1.66690366718807,1e+06,112803753,"ENPAK19","AK"
"115","NW_006724904.1",6000001,6877461,244859,237704,319,1.34200518291657,877461,113803753,"ENPAK19","AK"
"116","NW_006725015.1",1,1000000,405438,383352,364,0.949518979945324,1e+06,114681214,"ENPAK19","AK"
"117","NW_006725015.1",1000001,2000000,415836,395730,731,1.84721906350289,1e+06,115681214,"ENPAK19","AK"
"118","NW_006725015.1",2000001,3000000,417034,400858,317,0.790803726007713,1e+06,116681214,"ENPAK19","AK"
"119","NW_006725015.1",3000001,4000000,400474,387075,210,0.542530517341601,1e+06,117681214,"ENPAK19","AK"
"120","NW_006725015.1",4000001,5000000,395076,377530,520,1.37737398352449,1e+06,118681214,"ENPAK19","AK"
"121","NW_006725015.1",5000001,6000000,383829,369888,373,1.00841335755688,1e+06,119681214,"ENPAK19","AK"
"122","NW_006725015.1",6000001,6859743,301980,291199,351,1.20536128214726,859743,120681214,"ENPAK19","AK"
"123","NW_006725126.1",1,1000000,315060,302062,418,1.38382186438546,1e+06,121540957,"ENPAK19","AK"
"124","NW_006725126.1",1000001,2000000,370924,354261,573,1.6174515399663,1e+06,122540957,"ENPAK19","AK"
"125","NW_006725126.1",2000001,3000000,316122,304153,280,0.920589308670307,1e+06,123540957,"ENPAK19","AK"
"126","NW_006725126.1",3000001,4000000,355092,340879,480,1.40812429043737,1e+06,124540957,"ENPAK19","AK"
"127","NW_006725126.1",4000001,5000000,408291,394001,857,2.17512138294065,1e+06,125540957,"ENPAK19","AK"
"128","NW_006725126.1",5000001,6000000,420575,404534,498,1.23104609254105,1e+06,126540957,"ENPAK19","AK"
"129","NW_006725126.1",6000001,6840501,257150,246206,736,2.9893666279457,840501,127540957,"ENPAK19","AK"
"130","NW_006725237.1",1,1000000,390848,378907,669,1.7656047526174,1e+06,128381458,"ENPAK19","AK"
"131","NW_006725237.1",1000001,2000000,357444,343673,737,2.14448036360145,1e+06,129381458,"ENPAK19","AK"
"132","NW_006725237.1",2000001,3000000,441642,422534,1604,3.79614421561342,1e+06,130381458,"ENPAK19","AK"
"133","NW_006725237.1",3000001,4000000,449607,433059,754,1.74110225165624,1e+06,131381458,"ENPAK19","AK"
"134","NW_006725237.1",4000001,5000000,462813,445563,1037,2.32739253483795,1e+06,132381458,"ENPAK19","AK"
"135","NW_006725237.1",5000001,6000000,405814,392038,1148,2.92828756396064,1e+06,133381458,"ENPAK19","AK"
"136","NW_006725237.1",6000001,6765806,333669,323491,990,3.06036334859393,765806,134381458,"ENPAK19","AK"
"137","NW_006725332.1",1,1000000,273995,261199,930,3.56050367727288,1e+06,135147264,"ENPAK19","AK"
"138","NW_006725332.1",1000001,2000000,371944,356824,871,2.44097930632469,1e+06,136147264,"ENPAK19","AK"
"139","NW_006725332.1",2000001,3000000,366390,354706,596,1.68026478266508,1e+06,137147264,"ENPAK19","AK"
"140","NW_006725332.1",3000001,4000000,328190,312386,881,2.82022881947334,1e+06,138147264,"ENPAK19","AK"
"141","NW_006725332.1",4000001,5000000,358031,341814,600,1.75534062384806,1e+06,139147264,"ENPAK19","AK"
"142","NW_006725332.1",5000001,6000000,391243,375867,569,1.51383335062668,1e+06,140147264,"ENPAK19","AK"
"143","NW_006725332.1",6000001,6752156,373366,359083,347,0.966350398097376,752156,141147264,"ENPAK19","AK"
"144","NW_006725343.1",1,1000000,303396,290308,828,2.85214324097166,1e+06,141899420,"ENPAK19","AK"
"145","NW_006725343.1",1000001,2000000,383656,368630,941,2.55269511434229,1e+06,142899420,"ENPAK19","AK"
"146","NW_006725343.1",2000001,3000000,384260,367894,736,2.00057625294242,1e+06,143899420,"ENPAK19","AK"
"147","NW_006725343.1",3000001,4000000,376854,355664,624,1.7544648882091,1e+06,144899420,"ENPAK19","AK"
"148","NW_006725343.1",4000001,5000000,376552,355369,427,1.20156794768255,1e+06,145899420,"ENPAK19","AK"
"149","NW_006725343.1",5000001,6000000,419272,400110,926,2.31436355002374,1e+06,146899420,"ENPAK19","AK"
"150","NW_006725343.1",6000001,6659433,225351,214609,446,2.07819802524591,659433,147899420,"ENPAK19","AK"
"151","NW_006725354.1",1,1000000,423904,412258,739,1.79256679069903,1e+06,148558853,"ENPAK19","AK"
"152","NW_006725354.1",1000001,2000000,419132,405822,645,1.58936676671053,1e+06,149558853,"ENPAK19","AK"
"153","NW_006725354.1",2000001,3000000,348069,335059,939,2.80249150149675,1e+06,150558853,"ENPAK19","AK"
"154","NW_006725354.1",3000001,4000000,353518,339907,1014,2.98316892561789,1e+06,151558853,"ENPAK19","AK"
"155","NW_006725354.1",4000001,5000000,420266,406586,713,1.75362653903479,1e+06,152558853,"ENPAK19","AK"
"156","NW_006725354.1",5000001,6000000,317935,306360,323,1.05431518474997,1e+06,153558853,"ENPAK19","AK"
"157","NW_006725354.1",6000001,7000000,397875,385278,723,1.87656705028577,1e+06,154558853,"ENPAK19","AK"
"158","NW_006725354.1",7000001,8000000,365276,352387,645,1.83037399223013,1e+06,155558853,"ENPAK19","AK"
"159","NW_006725354.1",8000001,9000000,389317,372887,688,1.84506298154669,1e+06,156558853,"ENPAK19","AK"
"160","NW_006725354.1",9000001,10000000,375818,360272,462,1.28236443575965,1e+06,157558853,"ENPAK19","AK"
"161","NW_006725354.1",10000001,11000000,350284,334813,812,2.42523438456691,1e+06,158558853,"ENPAK19","AK"
"162","NW_006725354.1",11000001,12000000,315425,298440,376,1.25988473394987,1e+06,159558853,"ENPAK19","AK"
"163","NW_006725354.1",12000001,13000000,341080,325129,466,1.4332772530288,1e+06,160558853,"ENPAK19","AK"
"164","NW_006725354.1",13000001,14000000,395066,377127,514,1.36293609314634,1e+06,161558853,"ENPAK19","AK"
"165","NW_006725354.1",14000001,15000000,369385,352206,515,1.46221245521087,1e+06,162558853,"ENPAK19","AK"
"166","NW_006725354.1",15000001,16000000,415390,398341,513,1.28784132188251,1e+06,163558853,"ENPAK19","AK"
"167","NW_006725354.1",16000001,17000000,362039,349622,652,1.8648712037572,1e+06,164558853,"ENPAK19","AK"
"168","NW_006725354.1",17000001,18000000,364753,349901,582,1.66332762695734,1e+06,165558853,"ENPAK19","AK"
"169","NW_006725354.1",18000001,19000000,378610,366130,247,0.674623767514271,1e+06,166558853,"ENPAK19","AK"
"170","NW_006725354.1",19000001,20000000,373109,354711,477,1.3447567174404,1e+06,167558853,"ENPAK19","AK"
"171","NW_006725354.1",20000001,21000000,358105,341165,349,1.02296542728592,1e+06,168558853,"ENPAK19","AK"
"172","NW_006725354.1",21000001,22000000,377943,362543,326,0.899203680666845,1e+06,169558853,"ENPAK19","AK"
"173","NW_006725354.1",22000001,23000000,315726,297023,325,1.09419135891833,1e+06,170558853,"ENPAK19","AK"
"174","NW_006725354.1",23000001,24000000,327620,303849,297,0.977459198483457,1e+06,171558853,"ENPAK19","AK"
"175","NW_006725354.1",24000001,25000000,382812,360282,662,1.83744955340539,1e+06,172558853,"ENPAK19","AK"
"176","NW_006725354.1",25000001,26000000,356893,334872,403,1.20344489834922,1e+06,173558853,"ENPAK19","AK"
"177","NW_006725354.1",26000001,27000000,341788,325129,493,1.5163212140412,1e+06,174558853,"ENPAK19","AK"
"178","NW_006725354.1",27000001,28000000,387012,373122,560,1.50084958807039,1e+06,175558853,"ENPAK19","AK"
"179","NW_006725354.1",28000001,29000000,363933,350893,498,1.41923606341534,1e+06,176558853,"ENPAK19","AK"
"180","NW_006725354.1",29000001,30000000,431931,412612,1003,2.43085513751418,1e+06,177558853,"ENPAK19","AK"
"181","NW_006725354.1",30000001,31000000,492191,476499,737,1.5466978944342,1e+06,178558853,"ENPAK19","AK"
"182","NW_006725354.1",31000001,32000000,462707,446537,849,1.9012982126901,1e+06,179558853,"ENPAK19","AK"
"183","NW_006725354.1",32000001,33000000,400471,387393,614,1.58495378078592,1e+06,180558853,"ENPAK19","AK"
"184","NW_006725354.1",33000001,34000000,399879,386772,495,1.27982377214483,1e+06,181558853,"ENPAK19","AK"
"185","NW_006725354.1",34000001,35000000,376821,363753,596,1.63847445931717,1e+06,182558853,"ENPAK19","AK"
"186","NW_006725354.1",35000001,36000000,420907,406927,1052,2.58523027471758,1e+06,183558853,"ENPAK19","AK"
"187","NW_006725354.1",36000001,37000000,396611,381754,493,1.29140755565102,1e+06,184558853,"ENPAK19","AK"
"188","NW_006725355.1",1,1000000,450169,437823,555,1.26763555135294,1e+06,185558853,"ENPAK19","AK"
"189","NW_006725355.1",1000001,2000000,452167,439318,797,1.8141756085569,1e+06,186558853,"ENPAK19","AK"
"190","NW_006725355.1",2000001,3000000,448756,434007,1043,2.40318704537024,1e+06,187558853,"ENPAK19","AK"
"191","NW_006725355.1",3000001,4000000,452869,436747,1669,3.82143437733974,1e+06,188558853,"ENPAK19","AK"
"192","NW_006725355.1",4000001,5000000,517893,502912,1093,2.17334245355052,1e+06,189558853,"ENPAK19","AK"
"193","NW_006725355.1",5000001,6000000,399177,389414,1008,2.58850477897559,1e+06,190558853,"ENPAK19","AK"
"194","NW_006725355.1",6000001,6578050,271260,265598,295,1.1107011347977,578050,191558853,"ENPAK19","AK"
"195","NW_006725366.1",1,1000000,419370,406182,1085,2.6712163512908,1e+06,192136903,"ENPAK19","AK"
"196","NW_006725366.1",1000001,2000000,414308,401792,757,1.88405941382606,1e+06,193136903,"ENPAK19","AK"
"197","NW_006725366.1",2000001,3000000,309106,300836,229,0.761212088978713,1e+06,194136903,"ENPAK19","AK"
"198","NW_006725366.1",3000001,4000000,414891,404511,524,1.29539122545493,1e+06,195136903,"ENPAK19","AK"
"199","NW_006725366.1",4000001,5000000,451578,438847,826,1.88220495981515,1e+06,196136903,"ENPAK19","AK"
"200","NW_006725366.1",5000001,6000000,475535,459124,924,2.01252820588773,1e+06,197136903,"ENPAK19","AK"
"201","NW_006725366.1",6000001,7000000,477139,460862,1083,2.34994423493367,1e+06,198136903,"ENPAK19","AK"
"202","NW_006725366.1",7000001,8000000,381948,368556,440,1.19384842466274,1e+06,199136903,"ENPAK19","AK"
"203","NW_006725366.1",8000001,8853351,357284,346252,155,0.447650843894042,853351,200136903,"ENPAK19","AK"
"204","NW_006725377.1",1,1000000,278578,265269,591,2.2279271230336,1e+06,200990254,"ENPAK19","AK"
"205","NW_006725377.1",1000001,2000000,347927,331765,1150,3.46630898376863,1e+06,201990254,"ENPAK19","AK"
"206","NW_006725377.1",2000001,3000000,436004,412797,1317,3.19043016300991,1e+06,202990254,"ENPAK19","AK"
"207","NW_006725377.1",3000001,4000000,389210,371118,1168,3.14724696727186,1e+06,203990254,"ENPAK19","AK"
"208","NW_006725377.1",4000001,5000000,386809,368515,1033,2.80314234156004,1e+06,204990254,"ENPAK19","AK"
"209","NW_006725377.1",5000001,6000000,389152,368298,555,1.50693188667872,1e+06,205990254,"ENPAK19","AK"
"210","NW_006725377.1",6000001,7000000,306539,289156,686,2.37242180691391,1e+06,206990254,"ENPAK19","AK"
"211","NW_006725377.1",7000001,8000000,308588,291701,428,1.4672558544537,1e+06,207990254,"ENPAK19","AK"
"212","NW_006725377.1",8000001,9000000,287690,270503,956,3.53415673763322,1e+06,208990254,"ENPAK19","AK"
"213","NW_006725388.1",1,1000000,438411,420681,1247,2.96424131348932,1e+06,209990254,"ENPAK19","AK"
"214","NW_006725388.1",1000001,2000000,371519,354079,817,2.30739467745899,1e+06,210990254,"ENPAK19","AK"
"215","NW_006725388.1",2000001,3000000,446008,426246,911,2.13726345819081,1e+06,211990254,"ENPAK19","AK"
"216","NW_006725388.1",3000001,4000000,440832,421932,479,1.13525402197511,1e+06,212990254,"ENPAK19","AK"
"217","NW_006725388.1",4000001,5000000,428158,408412,967,2.36770711928151,1e+06,213990254,"ENPAK19","AK"
"218","NW_006725388.1",5000001,6000000,366666,351275,715,2.03544231727279,1e+06,214990254,"ENPAK19","AK"
"219","NW_006725399.1",1,1000000,233285,224649,276,1.22858325654688,1e+06,215990254,"ENPAK19","AK"
"220","NW_006725399.1",1000001,2000000,404844,394494,402,1.01902690535217,1e+06,216990254,"ENPAK19","AK"
"221","NW_006725399.1",2000001,3000000,428838,418121,994,2.37730226417712,1e+06,217990254,"ENPAK19","AK"
"222","NW_006725399.1",3000001,4000000,467507,455194,1392,3.0580367931036,1e+06,218990254,"ENPAK19","AK"
"223","NW_006725399.1",4000001,5000000,425218,412460,673,1.63167337438782,1e+06,219990254,"ENPAK19","AK"
"224","NW_006725399.1",5000001,6000000,319558,304582,490,1.60876217241991,1e+06,220990254,"ENPAK19","AK"
"225","NW_006725410.1",1,1000000,372823,357454,627,1.75407185260201,1e+06,221990254,"ENPAK19","AK"
"226","NW_006725410.1",1000001,2000000,343820,325888,440,1.35015710919089,1e+06,222990254,"ENPAK19","AK"
"227","NW_006725410.1",2000001,3000000,327629,314145,288,0.916774101131643,1e+06,223990254,"ENPAK19","AK"
"228","NW_006725410.1",3000001,4000000,378177,365194,1071,2.93268783167303,1e+06,224990254,"ENPAK19","AK"
"229","NW_006725410.1",4000001,5000000,426734,408648,1092,2.67222646385153,1e+06,225990254,"ENPAK19","AK"
"230","NW_006725410.1",5000001,6000000,415179,395225,625,1.58137769624897,1e+06,226990254,"ENPAK19","AK"
"231","NW_006725410.1",6000001,6702869,256827,243818,436,1.788219081446,702869,227990254,"ENPAK19","AK"
"232","NW_006725421.1",1,1000000,362401,344244,436,1.26654349821638,1e+06,228693123,"ENPAK19","AK"
"233","NW_006725421.1",1000001,2000000,389808,373893,678,1.81335301810946,1e+06,229693123,"ENPAK19","AK"
"234","NW_006725421.1",2000001,3000000,379571,360010,619,1.71939668342546,1e+06,230693123,"ENPAK19","AK"
"235","NW_006725421.1",3000001,4000000,324220,306989,527,1.71667388733798,1e+06,231693123,"ENPAK19","AK"
"236","NW_006725421.1",4000001,5000000,397202,381021,593,1.5563446634175,1e+06,232693123,"ENPAK19","AK"
"237","NW_006725421.1",5000001,6000000,350044,338805,708,2.08969761367158,1e+06,233693123,"ENPAK19","AK"
"238","NW_006725432.1",1,1000000,381867,371074,495,1.33396573190253,1e+06,234693123,"ENPAK19","AK"
"239","NW_006725432.1",1000001,2000000,389027,373256,741,1.98523265533575,1e+06,235693123,"ENPAK19","AK"
"240","NW_006725432.1",2000001,3000000,327695,309633,459,1.4824001317689,1e+06,236693123,"ENPAK19","AK"
"241","NW_006725432.1",3000001,4000000,432799,417586,1117,2.67489810482152,1e+06,237693123,"ENPAK19","AK"
"242","NW_006725432.1",4000001,5000000,370956,357075,450,1.26023944549464,1e+06,238693123,"ENPAK19","AK"
"243","NW_006725432.1",5000001,6000000,404307,390053,655,1.67925897249861,1e+06,239693123,"ENPAK19","AK"
"244","NW_006725443.1",1,1000000,417997,402745,975,2.42088666525966,1e+06,240693123,"ENPAK19","AK"
